======================================================================
MM-UAVBench 图像任务评测报告（多模型 × 多任务，零样本 MCQ）
======================================================================
生成时间: 2026-03-04 05:53:19
设备: cuda
每任务样本数: 全部
任务数: 19
模型数: 11
轮数: 3 (取平均)

----------------------------------------------------------------------
模型: qwen2vl_2b  (Qwen2-VL-2B-Instruct (Qwen))
  [Class_Agnostic_Counting] 正确: 66/330  准确率: 20.0%
  [Referring_Expression_Counting] 正确: 60/350  准确率: 17.1%
  [Target_Backtracking] 正确: 32/118  准确率: 27.1%
  [Cross_Object_Reasoning] 正确: 72/172  准确率: 41.9%
  [Intent_Analysis_and_Prediction] 正确: 72/310  准确率: 23.2%
  [Scene_Attribute_Understanding] 正确: 88/277  准确率: 31.8%
  [Scene_Damage_Assessment] 正确: 164/350  准确率: 46.9%
  [Scene_Analysis_and_Prediction] 正确: 55/207  准确率: 26.6%
  [Temporal_Ordering] 正确: 75/350  准确率: 21.4%
  [Ground_Target_Planning] 正确: 76/325  准确率: 23.4%
  [Air_Ground_Collaborative_Planning] 正确: 43/208  准确率: 20.7%
  [Swarm_Collaborative_Planning] 正确: 97/293  准确率: 33.1%
  [Event_Prediction] 正确: 79/247  准确率: 32.0%
  [Event_Tracing] 正确: 46/243  准确率: 18.9%
  [Event_Understanding] 正确: 83/301  准确率: 27.6%
  >> 总体: 1558/5702  平均准确率: 27.3%

----------------------------------------------------------------------
模型: minicpm_v_4_5_8b  (MiniCPM-V-4.5-8B (OpenBMB))
----------------------------------------------------------------------
  [Scene_Classification] 正确: 158/239  准确率: 66.1%
  [Orientation_Classification] 正确: 249/739  准确率: 33.7%
  [Environment_State_Classification] 正确: 246/323  准确率: 76.2%
  [Urban_OCR] 正确: 226/320  准确率: 70.6%
  [Class_Agnostic_Counting] 正确: 92/330  准确率: 27.9%
  [Referring_Expression_Counting] 正确: 89/350  准确率: 25.4%
  [Target_Backtracking] 正确: 32/118  准确率: 27.1%
  [Cross_Object_Reasoning] 正确: 33/172  准确率: 19.2%
  [Intent_Analysis_and_Prediction] 正确: 147/310  准确率: 47.4%
  [Scene_Attribute_Understanding] 正确: 158/277  准确率: 57.0%
  [Scene_Damage_Assessment] 正确: 101/350  准确率: 28.9%
  [Scene_Analysis_and_Prediction] 正确: 74/207  准确率: 35.7%
  [Temporal_Ordering] 正确: 104/350  准确率: 29.7%
  [Ground_Target_Planning] 正确: 149/325  准确率: 45.8%
  [Air_Ground_Collaborative_Planning] 正确: 77/208  准确率: 37.0%
  [Swarm_Collaborative_Planning] 正确: 75/293  准确率: 25.6%
  [Event_Prediction] 正确: 173/247  准确率: 70.0%
  [Event_Tracing] 正确: 147/243  准确率: 60.5%
  [Event_Understanding] 正确: 212/301  准确率: 70.4%
  >> 总体: 2542/5702  平均准确率: 44.6%

----------------------------------------------------------------------
模型: qwen3vl_8b  (Qwen3-VL-8B-Instruct (Qwen))
----------------------------------------------------------------------
  [Scene_Classification] 正确: 60/239  准确率: 25.1%
  [Orientation_Classification] 正确: 167/739  准确率: 22.6%
  [Environment_State_Classification] 正确: 88/323  准确率: 27.2%
  [Urban_OCR] 正确: 135/320  准确率: 42.2%
  [Class_Agnostic_Counting] 正确: 66/330  准确率: 20.0%
  [Referring_Expression_Counting] 正确: 60/350  准确率: 17.1%
  [Target_Backtracking] 正确: 32/118  准确率: 27.1%
  [Cross_Object_Reasoning] 正确: 72/172  准确率: 41.9%
  [Intent_Analysis_and_Prediction] 正确: 72/310  准确率: 23.2%
  [Scene_Attribute_Understanding] 正确: 88/277  准确率: 31.8%
  [Scene_Damage_Assessment] 正确: 164/350  准确率: 46.9%
  [Scene_Analysis_and_Prediction] 正确: 55/207  准确率: 26.6%
  [Temporal_Ordering] 正确: 75/350  准确率: 21.4%
  [Ground_Target_Planning] 正确: 76/325  准确率: 23.4%
  [Air_Ground_Collaborative_Planning] 正确: 43/208  准确率: 20.7%
  [Swarm_Collaborative_Planning] 正确: 97/293  准确率: 33.1%
  [Event_Prediction] 正确: 79/247  准确率: 32.0%
  [Event_Tracing] 正确: 46/243  准确率: 18.9%
  [Event_Understanding] 正确: 83/301  准确率: 27.6%
  >> 总体: 1558/5702  平均准确率: 27.3%

----------------------------------------------------------------------
模型: qwen2_5_vl_32b  (Qwen2.5-VL-32B-Instruct (Qwen))
----------------------------------------------------------------------
  [Scene_Classification] 正确: 150/239  准确率: 62.8%
  [Orientation_Classification] 正确: 231/739  准确率: 31.3%
  [Environment_State_Classification] 正确: 250/323  准确率: 77.4%
  [Urban_OCR] 正确: 198/320  准确率: 61.9%
  [Class_Agnostic_Counting] 正确: 96/330  准确率: 29.1%
  [Referring_Expression_Counting] 正确: 121/350  准确率: 34.6%
  [Target_Backtracking] 正确: 20/118  准确率: 16.9%
  [Cross_Object_Reasoning] 正确: 34/172  准确率: 19.8%
  [Intent_Analysis_and_Prediction] 正确: 147/310  准确率: 47.4%
  [Scene_Attribute_Understanding] 正确: 150/277  准确率: 54.2%
  [Scene_Damage_Assessment] 正确: 134/350  准确率: 38.3%
  [Scene_Analysis_and_Prediction] 正确: 69/207  准确率: 33.3%
  [Temporal_Ordering] 正确: 97/350  准确率: 27.7%
  [Ground_Target_Planning] 正确: 156/325  准确率: 48.0%
  [Air_Ground_Collaborative_Planning] 正确: 88/208  准确率: 42.3%
  [Swarm_Collaborative_Planning] 正确: 59/293  准确率: 20.1%
  [Event_Prediction] 正确: 166/247  准确率: 67.2%
  [Event_Tracing] 正确: 149/243  准确率: 61.3%
  [Event_Understanding] 正确: 187/301  准确率: 62.1%
  >> 总体: 2502/5702  平均准确率: 43.9%

----------------------------------------------------------------------
模型: internvl3_5_8b  (InternVL3.5-8B (OpenGVLab))
----------------------------------------------------------------------
  [Scene_Classification] 正确: 60/239  准确率: 25.1%
  [Orientation_Classification] 正确: 167/739  准确率: 22.6%
  [Environment_State_Classification] 正确: 88/323  准确率: 27.2%
  [Urban_OCR] 正确: 135/320  准确率: 42.2%
  [Class_Agnostic_Counting] 正确: 66/330  准确率: 20.0%
  [Referring_Expression_Counting] 正确: 60/350  准确率: 17.1%
  [Target_Backtracking] 正确: 32/118  准确率: 27.1%
  [Cross_Object_Reasoning] 正确: 72/172  准确率: 41.9%
  [Intent_Analysis_and_Prediction] 正确: 72/310  准确率: 23.2%
  [Scene_Attribute_Understanding] 正确: 88/277  准确率: 31.8%
  [Scene_Damage_Assessment] 正确: 164/350  准确率: 46.9%
  [Scene_Analysis_and_Prediction] 正确: 55/207  准确率: 26.6%
  [Temporal_Ordering] 正确: 75/350  准确率: 21.4%
  [Ground_Target_Planning] 正确: 76/325  准确率: 23.4%
  [Air_Ground_Collaborative_Planning] 正确: 43/208  准确率: 20.7%
  [Swarm_Collaborative_Planning] 正确: 97/293  准确率: 33.1%
  [Event_Prediction] 正确: 79/247  准确率: 32.0%
  [Event_Tracing] 正确: 46/243  准确率: 18.9%
  [Event_Understanding] 正确: 83/301  准确率: 27.6%
  >> 总体: 1558/5702  平均准确率: 27.3%

----------------------------------------------------------------------
模型: internvl3_14b  (InternVL3-14B (OpenGVLab))
----------------------------------------------------------------------
  [Scene_Classification] 正确: 60/239  准确率: 25.1%
  [Orientation_Classification] 正确: 167/739  准确率: 22.6%
  [Environment_State_Classification] 正确: 88/323  准确率: 27.2%
  [Urban_OCR] 正确: 135/320  准确率: 42.2%
  [Class_Agnostic_Counting] 正确: 66/330  准确率: 20.0%
  [Referring_Expression_Counting] 正确: 60/350  准确率: 17.1%
  [Target_Backtracking] 正确: 32/118  准确率: 27.1%
  [Cross_Object_Reasoning] 正确: 72/172  准确率: 41.9%
  [Intent_Analysis_and_Prediction] 正确: 72/310  准确率: 23.2%
  [Scene_Attribute_Understanding] 正确: 88/277  准确率: 31.8%
  [Scene_Damage_Assessment] 正确: 164/350  准确率: 46.9%
  [Scene_Analysis_and_Prediction] 正确: 55/207  准确率: 26.6%
  [Temporal_Ordering] 正确: 75/350  准确率: 21.4%
  [Ground_Target_Planning] 正确: 76/325  准确率: 23.4%
  [Air_Ground_Collaborative_Planning] 正确: 43/208  准确率: 20.7%
  [Swarm_Collaborative_Planning] 正确: 97/293  准确率: 33.1%
  [Event_Prediction] 正确: 79/247  准确率: 32.0%
  [Event_Tracing] 正确: 46/243  准确率: 18.9%
  [Event_Understanding] 正确: 83/301  准确率: 27.6%
  >> 总体: 1558/5702  平均准确率: 27.3%

----------------------------------------------------------------------
模型: random_baseline  (Random baseline (uniform choice))
----------------------------------------------------------------------
  [Scene_Classification] 正确: 64/239  准确率: 26.8%
  [Orientation_Classification] 正确: 176/739  准确率: 23.8%
  [Environment_State_Classification] 正确: 82/323  准确率: 25.4%
  [Urban_OCR] 正确: 87/320  准确率: 27.2%
  [Class_Agnostic_Counting] 正确: 70/330  准确率: 21.2%
  [Referring_Expression_Counting] 正确: 59/350  准确率: 16.9%
  [Target_Backtracking] 正确: 33/118  准确率: 28.0%
  [Cross_Object_Reasoning] 正确: 52/172  准确率: 30.2%
  [Intent_Analysis_and_Prediction] 正确: 83/310  准确率: 26.8%
  [Scene_Attribute_Understanding] 正确: 81/277  准确率: 29.2%
  [Scene_Damage_Assessment] 正确: 70/350  准确率: 20.0%
  [Scene_Analysis_and_Prediction] 正确: 61/207  准确率: 29.5%
  [Temporal_Ordering] 正确: 100/350  准确率: 28.6%
  [Ground_Target_Planning] 正确: 71/325  准确率: 21.8%
  [Air_Ground_Collaborative_Planning] 正确: 49/208  准确率: 23.6%
  [Swarm_Collaborative_Planning] 正确: 79/293  准确率: 27.0%
  [Event_Prediction] 正确: 67/247  准确率: 27.1%
  [Event_Tracing] 正确: 50/243  准确率: 20.6%
  [Event_Understanding] 正确: 65/301  准确率: 21.6%
  >> 总体: 1399/5702  平均准确率: 24.5%

----------------------------------------------------------------------
模型: qwen2vl_7b  (Qwen2-VL-7B-Instruct (Qwen))
----------------------------------------------------------------------
  [Scene_Classification] 正确: 149/239  准确率: 62.3%
  [Orientation_Classification] 正确: 211/739  准确率: 28.6%
  [Environment_State_Classification] 正确: 233/323  准确率: 72.1%
  [Urban_OCR] 正确: 197/320  准确率: 61.6%
  [Class_Agnostic_Counting] 正确: 63/330  准确率: 19.1%
  [Referring_Expression_Counting] 正确: 81/350  准确率: 23.1%
  [Target_Backtracking] 正确: 50/118  准确率: 42.4%
  [Cross_Object_Reasoning] 正确: 76/172  准确率: 44.2%
  [Intent_Analysis_and_Prediction] 正确: 135/310  准确率: 43.5%
  [Scene_Attribute_Understanding] 正确: 152/277  准确率: 54.9%
  [Scene_Damage_Assessment] 正确: 123/350  准确率: 35.1%
  [Scene_Analysis_and_Prediction] 正确: 72/207  准确率: 34.8%
  [Temporal_Ordering] 正确: 115/350  准确率: 32.9%
  [Ground_Target_Planning] 正确: 141/325  准确率: 43.4%
  [Air_Ground_Collaborative_Planning] 正确: 75/208  准确率: 36.1%
  [Swarm_Collaborative_Planning] 正确: 72/293  准确率: 24.6%
  [Event_Prediction] 正确: 145/247  准确率: 58.7%
  [Event_Tracing] 正确: 152/243  准确率: 62.6%
  [Event_Understanding] 正确: 200/301  准确率: 66.4%
  >> 总体: 2442/5702  平均准确率: 42.8%

----------------------------------------------------------------------
模型: qwen3vl_32b  (Qwen3-VL-32B-Instruct (Qwen))
----------------------------------------------------------------------
  [Scene_Classification] 正确: 60/239  准确率: 25.1%
  [Orientation_Classification] 正确: 167/739  准确率: 22.6%
  [Environment_State_Classification] 正确: 88/323  准确率: 27.2%
  [Urban_OCR] 正确: 135/320  准确率: 42.2%
  [Class_Agnostic_Counting] 正确: 66/330  准确率: 20.0%
  [Referring_Expression_Counting] 正确: 60/350  准确率: 17.1%
  [Target_Backtracking] 正确: 32/118  准确率: 27.1%
  [Cross_Object_Reasoning] 正确: 72/172  准确率: 41.9%
  [Intent_Analysis_and_Prediction] 正确: 72/310  准确率: 23.2%
  [Scene_Attribute_Understanding] 正确: 88/277  准确率: 31.8%
  [Scene_Damage_Assessment] 正确: 164/350  准确率: 46.9%
  [Scene_Analysis_and_Prediction] 正确: 55/207  准确率: 26.6%
  [Temporal_Ordering] 正确: 75/350  准确率: 21.4%
  [Ground_Target_Planning] 正确: 76/325  准确率: 23.4%
  [Air_Ground_Collaborative_Planning] 正确: 43/208  准确率: 20.7%
  [Swarm_Collaborative_Planning] 正确: 97/293  准确率: 33.1%
  [Event_Prediction] 正确: 79/247  准确率: 32.0%
  [Event_Tracing] 正确: 46/243  准确率: 18.9%
  [Event_Understanding] 正确: 83/301  准确率: 27.6%
  >> 总体: 1558/5702  平均准确率: 27.3%

----------------------------------------------------------------------
模型: mimo_vl_7b_rl  (MiMo-VL-7B-RL)
----------------------------------------------------------------------
  [Scene_Classification] 正确: 60/239  准确率: 25.1%
  [Orientation_Classification] 正确: 167/739  准确率: 22.6%
  [Environment_State_Classification] 正确: 88/323  准确率: 27.2%
  [Urban_OCR] 正确: 135/320  准确率: 42.2%
  [Class_Agnostic_Counting] 正确: 66/330  准确率: 20.0%
  [Referring_Expression_Counting] 正确: 60/350  准确率: 17.1%
  [Target_Backtracking] 正确: 32/118  准确率: 27.1%
  [Cross_Object_Reasoning] 正确: 72/172  准确率: 41.9%
  [Intent_Analysis_and_Prediction] 正确: 72/310  准确率: 23.2%
  [Scene_Attribute_Understanding] 正确: 88/277  准确率: 31.8%
  [Scene_Damage_Assessment] 正确: 164/350  准确率: 46.9%
  [Scene_Analysis_and_Prediction] 正确: 55/207  准确率: 26.6%
  [Temporal_Ordering] 正确: 75/350  准确率: 21.4%
  [Ground_Target_Planning] 正确: 76/325  准确率: 23.4%
  [Air_Ground_Collaborative_Planning] 正确: 43/208  准确率: 20.7%
  [Swarm_Collaborative_Planning] 正确: 97/293  准确率: 33.1%
  [Event_Prediction] 正确: 79/247  准确率: 32.0%
  [Event_Tracing] 正确: 46/243  准确率: 18.9%
  [Event_Understanding] 正确: 83/301  准确率: 27.6%
  >> 总体: 1558/5702  平均准确率: 27.3%

======================================================================
汇总表（各任务 × 各模型 准确率%，* 表示该任务最佳）
======================================================================
Task                                  qwen2vl_2b      internvl3_5_38b  minicpm_v_4_5_8b  qwen3vl_8b      qwen2_5_vl_32b  internvl3_5_8b  internvl3_14b   random_baseline  qwen2vl_7b      qwen3vl_32b     mimo_vl_7b_rl 
Scene_Classification                          59.0%           25.1%           66.1%*          25.1%           62.8%           25.1%           25.1%           26.8%           62.3%           25.1%           25.1% 
Orientation_Classification                    18.4%           22.6%           33.7%*          22.6%           31.3%           22.6%           22.6%           23.8%           28.6%           22.6%           22.6% 
Environment_State_Classification              67.5%           27.2%           76.2%           27.2%           77.4%*          27.2%           27.2%           25.4%           72.1%           27.2%           27.2% 
Urban_OCR                                     42.2%           42.2%           70.6%*          42.2%           61.9%           42.2%           42.2%           27.2%           61.6%           42.2%           42.2% 
Class_Agnostic_Counting                       21.3%           20.0%           27.9%           20.0%           29.1%*          20.0%           20.0%           21.2%           19.1%           20.0%           20.0% 
Referring_Expression_Counting                 24.4%           17.1%           25.4%           17.1%           34.6%*          17.1%           17.1%           16.9%           23.1%           17.1%           17.1% 
Target_Backtracking                           42.7%*          27.1%           27.1%           27.1%           16.9%           27.1%           27.1%           28.0%           42.4%           27.1%           27.1% 
Cross_Object_Reasoning                        46.7%*          41.9%           19.2%           41.9%           19.8%           41.9%           41.9%           30.2%           44.2%           41.9%           41.9% 
Intent_Analysis_and_Prediction                44.6%           23.2%           47.4%*          23.2%           47.4%*          23.2%           23.2%           26.8%           43.5%           23.2%           23.2% 
Scene_Attribute_Understanding                 50.9%           31.8%           57.0%*          31.8%           54.2%           31.8%           31.8%           29.2%           54.9%           31.8%           31.8% 
Scene_Damage_Assessment                       28.5%           46.9%           28.9%           46.9%*          38.3%           46.9%*          46.9%*          20.0%           35.1%           46.9%*          46.9%*
Scene_Analysis_and_Prediction                 34.3%           26.6%           35.7%*          26.6%           33.3%           26.6%           26.6%           29.5%           34.8%           26.6%           26.6% 
Temporal_Ordering                             28.9%           21.4%           29.7%           21.4%           27.7%           21.4%           21.4%           28.6%           32.9%*          21.4%           21.4% 
Ground_Target_Planning                        36.1%           23.4%           45.8%           23.4%           48.0%*          23.4%           23.4%           21.8%           43.4%           23.4%           23.4% 
Air_Ground_Collaborative_Planning             32.9%           20.7%           37.0%           20.7%           42.3%*          20.7%           20.7%           23.6%           36.1%           20.7%           20.7% 
Swarm_Collaborative_Planning                  25.1%           33.1%*          25.6%           33.1%           20.1%           33.1%           33.1%           27.0%           24.6%           33.1%           33.1% 
Event_Prediction                              56.8%           32.0%           70.0%*          32.0%           67.2%           32.0%           32.0%           27.1%           58.7%           32.0%           32.0% 
Event_Tracing                                 57.9%           18.9%           60.5%           18.9%           61.3%           18.9%           18.9%           20.6%           62.6%*          18.9%           18.9% 
Event_Understanding                           59.0%           27.6%           70.4%*          27.6%           62.1%           27.6%           27.6%           21.6%           66.4%           27.6%           27.6% 
总体                                            38.3%           27.3%           44.6%*          27.3%           43.9%           27.3%           27.3%           24.5%           42.8%           27.3%           27.3% 

======================================================================
